url,title,price,description,location,bedrooms,bathrooms,area_sqm,property_type,furnishing,images,source,scraped_at,price_per_sqm,log_price,city
https://aqarmap.com.eg/en/for-sale/villa/cairo/el-sheikh-zayed-city/lshykh-zyd-ljdyd/sun-square-compound-3-ptc/,Villas For sale in Sun Square Compound 3 - PTC,11000000,"7,500,000 EGP– 31,914 EGP/m²View and receive a villa immediately at the price of an apartment next to Mall of Arabia in Sun Square Compound El Sheikh Zayed  / Sun Square Compound 3 - PTC235 m²4 4",RangeMore FiltersEgypt Real EstateVillas For saleVillas For sale in Greater CairoVillas For sale in ,0,1,235,Villa,Unfurnished,"['data/raw/images/Villas_For_sale_in_Sun_Square_Compound_3_-_PTC\\img_0.webp', 'data/raw/images/Villas_For_sale_in_Sun_Square_Compound_3_-_PTC\\img_1.webp', 'data/raw/images/Villas_For_sale_in_Sun_Square_Compound_3_-_PTC\\img_2.webp', 'data/raw/images/Villas_For_sale_in_Sun_Square_Compound_3_-_PTC\\img_3.webp', 'data/raw/images/Villas_For_sale_in_Sun_Square_Compound_3_-_PTC\\img_4.webp']",aqarmap,2026-04-11 22:33:38,46808.51063829787,16.213405921671733,Cairo
https://aqarmap.com.eg/en/for-sale/property-type/cairo/el-maadi/sakanat-el-maadi/,Properties For sale in Sakanat El Maadi,31600000,"1,600,000 EGP– 12,307 EGP/m²شقة للبيع فى المعادى ثكنات المعادى منشية المصرى El Maadi / Sakanat El Maadi130 m²3 2",RangeMore FiltersEgypt Real EstateProperties For saleProperties For sale in Greater CairoProperties ,0,1,130,Villa,Furnished,"['data/raw/images/Properties_For_sale_in_Sakanat_El_Maadi\\img_0.webp', 'data/raw/images/Properties_For_sale_in_Sakanat_El_Maadi\\img_1.webp', 'data/raw/images/Properties_For_sale_in_Sakanat_El_Maadi\\img_2.jpg']",aqarmap,2026-04-11 22:33:44,243076.92307692306,17.26866771020271,Cairo
https://aqarmap.com.eg/en/for-sale/apartment/cairo/6th-of-october/compounds/etlala-compound/,Apartments For sale in Etlala Compound,2415000,"2,415,000 EGP– 23,000 EGP/m²12-year installments for a luxury apartment in an exceptional location in New October, Etlala Compound 6th of October / Etlala Compound105 m²2 1",RangeMore FiltersEgypt Real EstateApartments For saleApartments For sale in Greater CairoApartments ,0,1,105,Studio,Unfurnished,"['data/raw/images/Apartments_For_sale_in_Etlala_Compound\\img_0.webp', 'data/raw/images/Apartments_For_sale_in_Etlala_Compound\\img_1.webp', 'data/raw/images/Apartments_For_sale_in_Etlala_Compound\\img_2.webp', 'data/raw/images/Apartments_For_sale_in_Etlala_Compound\\img_3.webp', 'data/raw/images/Apartments_For_sale_in_Etlala_Compound\\img_4.webp']",aqarmap,2026-04-11 22:33:57,23000.0,14.697210259147399,Cairo
https://aqarmap.com.eg/en/for-sale/townhouse/cairo/new-cairo/compounds/blm-hylz-nyw-kyrw/,Town House For sale in Palm Hills New Cairo - PHNC,9283000,"29,987,000 EGP– 156,182 EGP/m²تاون هاوس 192 M² For sale in Palm Hills New Cairo-The Fifth Settlement - New Cairo New Cairo - 5th Settlement  / Palm Hills New Cairo - PHNC 192 m²",RangeMore FiltersEgypt Real EstateTown House For saleTown House For sale in Greater CairoTown House ,3,1,192,Villa,Unfurnished,"['data/raw/images/Town_House_For_sale_in_Palm_Hills_New_Cairo_-_PHNC\\img_0.webp', 'data/raw/images/Town_House_For_sale_in_Palm_Hills_New_Cairo_-_PHNC\\img_1.webp', 'data/raw/images/Town_House_For_sale_in_Palm_Hills_New_Cairo_-_PHNC\\img_2.webp', 'data/raw/images/Town_House_For_sale_in_Palm_Hills_New_Cairo_-_PHNC\\img_3.webp', 'data/raw/images/Town_House_For_sale_in_Palm_Hills_New_Cairo_-_PHNC\\img_4.jpg']",aqarmap,2026-04-11 22:34:11,48348.958333333336,16.04369543610586,Cairo
https://aqarmap.com.eg/en/for-sale/studio/cairo/6th-of-october/compounds/garden-lakes-compound-hyde-park/,Studio For sale in Garden Lakes Compound - Hyde Park,6800000,"7,090,000 EGP– 98,472 EGP/m²ستوديو 72 M² For sale in Garden Lakes-6 October - Giza 6th of October / Garden Lakes Compound - Hyde Park72 m²1",RangeMore FiltersEgypt Real EstateStudio For saleStudio For sale in Greater CairoStudio For sale in,0,1,72,Villa,Unfurnished,"['data/raw/images/Studio_For_sale_in_Garden_Lakes_Compound_-_Hyde_Pa\\img_0.jpg', 'data/raw/images/Studio_For_sale_in_Garden_Lakes_Compound_-_Hyde_Pa\\img_1.webp', 'data/raw/images/Studio_For_sale_in_Garden_Lakes_Compound_-_Hyde_Pa\\img_2.jpg', 'data/raw/images/Studio_For_sale_in_Garden_Lakes_Compound_-_Hyde_Pa\\img_3.webp', 'data/raw/images/Studio_For_sale_in_Garden_Lakes_Compound_-_Hyde_Pa\\img_4.webp']",aqarmap,2026-04-11 22:34:27,94444.44444444444,15.732433317205148,Cairo
https://aqarmap.com.eg/en/for-sale/property-type,Properties For sale,15500000,"15,500,000 EGP– 62,000 EGP/m²Apartment For sale in Palm Hills New Cairo - PHNC  New Cairo - 5th Settlement  / Palm Hills New Cairo - PHNC 250 m²3 3",RangeMore FiltersEgypt Real Estate,0,1,250,Villa,Furnished,"['data/raw/images/Properties_For_sale\\img_0.webp', 'data/raw/images/Properties_For_sale\\img_1.webp', 'data/raw/images/Properties_For_sale\\img_2.webp', 'data/raw/images/Properties_For_sale\\img_3.webp', 'data/raw/images/Properties_For_sale\\img_4.webp']",aqarmap,2026-04-11 22:34:51,62000.0,16.5563506464056,Cairo
https://aqarmap.com.eg/en/for-sale/villa/cairo/el-sheikh-zayed-city/lshykh-zyd-ljdyd/park-valley-diwan-compound-efid/,Villas For sale in Park Valley Diwan Compound - EFID,8000000,"8,000,000 EGP– 31,620 EGP/m²""فرصة"" فيلتك بقسط 13 سنة بجوار مول العرب في موقع مميز بزايد الجديدة كمبوند Park Valley Lake فيلا للبيع El Sheikh Zayed  / Park Valley Diwan Compound - EFID253 m²4 4",RangeMore FiltersEgypt Real EstateVillas For saleVillas For sale in Greater CairoVillas For sale in ,0,1,253,Villa,Unfurnished,"['data/raw/images/Villas_For_sale_in_Park_Valley_Diwan_Compound_-_EF\\img_0.webp', 'data/raw/images/Villas_For_sale_in_Park_Valley_Diwan_Compound_-_EF\\img_1.webp', 'data/raw/images/Villas_For_sale_in_Park_Valley_Diwan_Compound_-_EF\\img_2.webp', 'data/raw/images/Villas_For_sale_in_Park_Valley_Diwan_Compound_-_EF\\img_3.webp', 'data/raw/images/Villas_For_sale_in_Park_Valley_Diwan_Compound_-_EF\\img_4.webp']",aqarmap,2026-04-11 22:35:10,31620.553359683796,15.894952224644102,Cairo
https://aqarmap.com.eg/en/for-sale/apartment/alexandria/roshdy/,Apartments For sale in Roshdy,98200000,"8,200,000 EGP– 46,857 EGP/m²Apartment For sale in Roushdy St. Roshdy / Roushdy St.175 m²3 2",RangeMore FiltersEgypt Real EstateApartments For saleApartments For sale in Alexandria,0,1,175,Studio,Unfurnished,"['data/raw/images/Apartments_For_sale_in_Roshdy\\img_0.webp', 'data/raw/images/Apartments_For_sale_in_Roshdy\\img_1.webp', 'data/raw/images/Apartments_For_sale_in_Roshdy\\img_2.webp', 'data/raw/images/Apartments_For_sale_in_Roshdy\\img_3.webp', 'data/raw/images/Apartments_For_sale_in_Roshdy\\img_4.webp']",aqarmap,2026-04-11 22:35:28,561142.8571428572,18.402516783507995,Alexandria
https://aqarmap.com.eg/en/for-sale/townhouse/cairo/,Town House For sale in Greater Cairo,13700000,"13,700,000 EGP– 63,720 EGP/m²تاون هاوس For sale in Waterside - Garden Lakes Compound  6th of October / Waterside - Garden Lakes Compound 215 m²4 4",RangeMore FiltersEgypt Real EstateTown House For sale,0,1,215,Villa,Unfurnished,"['data/raw/images/Town_House_For_sale_in_Greater_Cairo\\img_0.webp', 'data/raw/images/Town_House_For_sale_in_Greater_Cairo\\img_1.webp', 'data/raw/images/Town_House_For_sale_in_Greater_Cairo\\img_2.webp', 'data/raw/images/Town_House_For_sale_in_Greater_Cairo\\img_3.webp', 'data/raw/images/Town_House_For_sale_in_Greater_Cairo\\img_4.webp']",aqarmap,2026-04-11 22:35:38,63720.93023255814,16.432906463791053,Cairo
https://aqarmap.com.eg/en/for-sale/apartment/cairo/6th-of-october/hadaeq-october/compounds/calma-compound-el-nasr-development/,Apartments For sale in Calma Compound - El Nasr,5300000,"5,300,000 EGP– 34,193 EGP/m²شقة بحديقة 155 M² For sale in Calma Compound - El Nasr 6th of October / Calma Compound - El Nasr155 m²3 2",RangeMore FiltersEgypt Real EstateApartments For saleApartments For sale in Greater CairoApartments ,0,1,155,Villa,Unfurnished,"['data/raw/images/Apartments_For_sale_in_Calma_Compound_-_El_Nasr\\img_0.jpg', 'data/raw/images/Apartments_For_sale_in_Calma_Compound_-_El_Nasr\\img_1.jpg', 'data/raw/images/Apartments_For_sale_in_Calma_Compound_-_El_Nasr\\img_2.webp', 'data/raw/images/Apartments_For_sale_in_Calma_Compound_-_El_Nasr\\img_3.webp', 'data/raw/images/Apartments_For_sale_in_Calma_Compound_-_El_Nasr\\img_4.webp']",aqarmap,2026-04-11 22:35:46,34193.54838709677,15.483217567201578,Cairo
https://aqarmap.com.eg/en/for-sale/duplex-garden/cairo/,Duplex with Garden For sale in Greater Cairo,6500000,"6,500,000 EGP– 16,666 EGP/m²فورى دوبلكس بسعر شقه ولوكشين مميز جدا بفيو مفتوح غير مجروح تماما 390م + 260 م جاردن 6th of October / Neighborhood 9th390 m²4 3",RangeMore FiltersEgypt Real EstateDuplex with Garden For sale,0,1,390,Duplex,Unfurnished,"['data/raw/images/Duplex_with_Garden_For_sale_in_Greater_Cairo\\img_0.webp', 'data/raw/images/Duplex_with_Garden_For_sale_in_Greater_Cairo\\img_1.webp', 'data/raw/images/Duplex_with_Garden_For_sale_in_Greater_Cairo\\img_2.webp', 'data/raw/images/Duplex_with_Garden_For_sale_in_Greater_Cairo\\img_3.webp', 'data/raw/images/Duplex_with_Garden_For_sale_in_Greater_Cairo\\img_4.webp']",aqarmap,2026-04-11 22:36:17,16666.666666666668,15.687312888712007,Cairo
